id,name,country,description
204,Bali,Indonesia,Island with beaches and temples. (Global Destination #154)
205,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #155)
206,London,UK,Big Ben and royal heritage. (Global Destination #156)
207,Rome,Italy,Colosseum and Roman history. (Global Destination #157)
208,Sydney,Australia,Opera House and beaches. (Global Destination #158)
209,Cape Town,South Africa,Mountains and coast. (Global Destination #159)
210,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #160)
211,Paris,France,City of love with the Eiffel Tower. (Global Destination #161)
212,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #162)
213,New York,USA,Times Square and global finance. (Global Destination #163)
214,Bali,Indonesia,Island with beaches and temples. (Global Destination #164)
215,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #165)
216,London,UK,Big Ben and royal heritage. (Global Destination #166)
217,Rome,Italy,Colosseum and Roman history. (Global Destination #167)
218,Sydney,Australia,Opera House and beaches. (Global Destination #168)
219,Cape Town,South Africa,Mountains and coast. (Global Destination #169)
220,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #170)
221,Paris,France,City of love with the Eiffel Tower. (Global Destination #171)
222,Tokyo,Japan,Tech-savvy and traditional culture. (Global Destination #172)
223,New York,USA,Times Square and global finance. (Global Destination #173)
224,Bali,Indonesia,Island with beaches and temples. (Global Destination #174)
225,Barcelona,Spain,Gaudi architecture and beaches. (Global Destination #175)
226,London,UK,Big Ben and royal heritage. (Global Destination #176)
227,Rome,Italy,Colosseum and Roman history. (Global Destination #177)
228,Sydney,Australia,Opera House and beaches. (Global Destination #178)
229,Cape Town,South Africa,Mountains and coast. (Global Destination #179)
230,Rio de Janeiro,Brazil,Carnival and Christ statue. (Global Destination #180)
